conflict_case,origin_name,origin_iso,host_name,host_iso,host_group,year,post_conflict,conflict_intensity,refugee_stock,asylum_seekers,host_population,refugees_per_1000,log_refugee_stock,gdp_growth,inflation,unemployment,trade_pct_gdp,current_account_pct_gdp
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2010,0,0.0,1169.0,371.0,9378126.0,0.12465176944732882,7.064759027791802,5.75076477579255,1.15798802715626,8.61,85.0914849272733,5.92506783771235
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2011,1,1203.0,1206.0,485.0,9449213.0,0.12762967667254405,7.095893221097532,3.16388567406926,2.9611507382214,7.804,86.3907448060188,5.51028500175062
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2012,1,50490.0,6051.0,3751.0,9519374.0,0.6356510417596787,8.708144074908246,-0.414397702454409,0.888377506923735,7.976,85.2980605424359,5.53304332576063
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2013,1,72016.0,17984.0,6808.0,9600379.0,1.8732593786141152,9.797293356129725,1.13766671801426,-0.044292970148682,8.052,81.6402521329964,4.70549381033489
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2014,1,65345.0,34285.0,19011.0,9696110.0,3.5359541094315143,10.442492386567427,2.29577238758284,-0.179638494114635,7.954,83.8229810483527,3.44736840993781
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2015,1,50181.0,52707.0,49286.0,9799186.0,5.378712068533039,10.872522525665143,4.38824673608589,-0.0467847449832812,7.432,84.1730765958171,2.71694586220694
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2016,1,43650.0,96914.0,7085.0,9923085.0,9.766519182290589,11.481589584660375,2.13117914731151,0.984269244577992,6.99,83.4519478574149,2.01094417852559
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2017,1,24126.0,103614.0,3531.0,10057698.0,10.301959752619338,11.548437385971589,1.88282184966646,1.79449904665599,6.718,86.0693088740521,2.18976179161859
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2018,1,13072.0,109343.0,2353.0,10175214.0,10.746014776691675,11.602254154915018,1.7702553546772,1.95353530127028,6.365,90.4087142361701,2.08249358421543
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2019,1,7379.0,113418.0,2226.0,10278887.0,11.034074019881725,11.638844204741988,2.60823012869524,1.78415097403835,6.833,92.7511390290561,5.21540072405935
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2020,1,4589.0,114609.0,1544.0,10353442.0,11.06965200558423,11.649290339490745,-1.93379704032216,0.497367318853572,8.291,84.4745958141618,5.66402536162381
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2021,1,1356.0,115233.0,1510.0,10415811.0,11.063276781807964,11.654720122587902,5.2258643028773,2.16319736447143,8.803,91.1102374413042,6.24035538176738
Syrian Civil War,Syria,SYR,Sweden,SWE,non_neighbor_european_host,2022,1,911.0,111199.0,1233.0,10486941.0,10.603568762330216,11.61908566079862,1.25543620445816,8.36929098869189,7.417,107.111751826512,4.02301740437692
